Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Bernard Arnault & family,150,France,LVMH,3,72,"Paris, France",France,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",FALSE
Daniel Gilbert,51.9,United States,Quicken Loans,23,59,"Franklin, Michigan",United States,Married,5,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",TRUE
Lui Che Woo & family,19.4,Hong Kong,casinos/hotels,93,92,"Hong Kong, Hong Kong",Hong Kong,Married,5,,TRUE
Dhanin Chearavanont,18.1,Thailand,diversified,103,82,"Bangkok, Thailand",Thailand,Married,5,,FALSE
Lee Man Tat,17.4,Hong Kong,food,111,91,"Hong Kong, Hong Kong",Hong Kong,Married,5,,FALSE
Jorge Paulo Lemann & family,16.9,Brazil,beer,114,81,"Zurich, Switzerland",Brazil,Married,5,"Bachelor of Arts/Science, Harvard University",TRUE
Charlene de Carvalho-Heineken & family,16.7,Netherlands,Heineken,116,66,"London, United Kingdom",Netherlands,Married,5,"Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden",FALSE
Charoen Sirivadhanabhakdi,13.5,Thailand,"alcohol, real estate",156,77,"Bangkok, Thailand",Thailand,Married,5,,TRUE
Jorge Moll Filho & family,11.3,Brazil,hospitals,194,76,"Rio de Janeiro, Brazil",Brazil,Married,5,"Masters of Public Health, Universidade Federal do Rio de Janeiro",TRUE
Luis Carlos Sarmiento,11,Colombia,banking,200,88,"Bogota, Colombia",Colombia,Married,5,"Bachelor of Arts/Science, National University of Colombia",TRUE
Charles Schwab,10.6,United States,discount brokerage,210,83,"Woodside, California",United States,Married,5,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University",TRUE
Charles Ergen,9.6,United States,satellite TV,241,68,"Denver, Colorado",United States,Married,5,"Bachelor of Arts/Science, University of Tennessee Knoxville; Master of Business Administration, Wake Forest University School of Business",TRUE
George Soros,8.6,United States,hedge funds,288,90,"Katonah, New York",United States,Married,5,"Bachelor of Arts/Science, London School of Economics",TRUE
Stewart and Lynda Resnick,7.1,United States,"agriculture, water",358,,"Beverly Hills, California",United States,Married,5,,TRUE
Wee Cho Yaw,6.8,Singapore,banking,384,92,"Singapore, Singapore",Singapore,Married,5,,FALSE
Denise Coates,6.5,United Kingdom,online gambling,404,53,"Stoke-on-Trent, United Kingdom",United Kingdom,Married,5,,TRUE
Idan Ofer,6.1,Israel,"drilling, shipping",440,65,"London, United Kingdom",Israel,Married,5,,FALSE
Terrence Pegula,5.4,United States,natural gas,520,70,"Boca Raton, Florida",United States,Married,5,"Bachelor of Science in Engineering, Pennsylvania State University",TRUE
Patrick Lee,5.1,Hong Kong,paper,550,79,"Hong Kong, Hong Kong",Hong Kong,Married,5,,TRUE
Joshua Harris,5,United States,private equity,561,56,"New York, New York",United States,Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",TRUE
Chip Wilson,4.9,Canada,Lululemon,574,64,"Vancouver, Canada",Canada,Married,5,"Bachelor of Arts/Science, University of Calgary",TRUE
Issad Rebrab & family,4.8,Algeria,food,589,77,"Algiers, Algeria",Algeria,Married,5,,TRUE
Tang Shing-bor,4.7,Hong Kong,real estate,608,87,"Hong Kong, Hong Kong",Hong Kong,Married,5,,TRUE
Viatcheslav Kantor,4.5,Russia,"fertilizer, real estate",638,67,"London, United Kingdom",Russia,Married,5,"Ph.D, Moscow Aviation University",TRUE
Ray Lee Hunt,4.2,United States,"oil, real estate",680,78,"Dallas, Texas",United States,Married,5,"Bachelor of Arts/Science, Southern Methodist University",FALSE
David Bonderman,4.1,United States,private equity,705,78,"Fort Worth, Texas",United States,Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington",TRUE
Helen Johnson-Leipold,3.6,United States,cleaning products,831,64,"Racine, Wisconsin",United States,Married,5,"Bachelor of Arts/Science, Cornell University",FALSE
"Bernard Saul, II.",3.3,United States,"banking, real estate",925,89,"Chevy Chase, Maryland",United States,Married,5,"LLB, University of Virginia; Bachelor of Arts/Science, Villanova University",FALSE
Antonio Del Valle Ruiz & family,3.1,Mexico,chemicals,986,82,"Mexico City, Mexico",Mexico,Married,5,,TRUE
Sergey Lomakin,3.1,Russia,retail,986,47,"Moscow, Russia",Russia,Married,5,"Master of Science, Moscow State Mining University",TRUE
Prasert Prasarttong-Osoth,3.1,Thailand,hospitals,986,88,"Bangkok, Thailand",Thailand,Married,5,,TRUE
Alfred Gantner,2.9,Switzerland,private equity,1064,53,"Zug, Switzerland",Switzerland,Married,5,,TRUE
Alexander Nesis,2.9,Russia,"metals, banking, fertilizers",1064,58,"Moscow, Russia",Russia,Married,5,"Bachelor of Arts/Science, Leningrad Technological Institute",TRUE
Jeff Sutton,2.9,United States,real estate,1064,61,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",TRUE
Glen Taylor,2.9,United States,printing,1064,80,"Mankato, Minnesota",United States,Married,5,"Bachelor of Arts/Science, Minnesota State University",TRUE
Jean Coutu & family,2.8,Canada,drugstores,1111,93,"Montreal, Canada",Canada,Married,5,,TRUE
Bergit Douglas,2.8,Germany,consumer goods,1111,74,"Frankfurt, Germany",Germany,Married,5,,FALSE
Yitzhak Tshuva,2.7,Israel,real estate,1174,72,"Netanya, Israel",Israel,Married,5,,TRUE
Hal Jackman,2.6,Canada,"insurance, investments",1205,88,"Toronto, Canada",Canada,Married,5,,TRUE
Daniel Pritzker,2.6,United States,"hotels, investments",1205,61,"Marin County, California",United States,Married,5,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, Tufts University",FALSE
Gail Miller,2.4,United States,car dealerships,1299,77,"Salt Lake City, Utah",United States,Married,5,"Drop Out, University of Utah",TRUE
Donald Trump,2.4,United States,real estate,1299,74,"Palm Beach, Florida",United States,Married,5,"Fordham University; Bachelor of Arts/Science, University of Pennsylvania",FALSE
Bob Ell,2.3,Australia,real estate,1362,76,"Surfers Paradise, Australia",Australia,Married,5,,TRUE
Lindsay Fox,2.3,Australia,"logistics, real estate",1362,84,"Melbourne, Australia",Australia,Married,5,,TRUE
Boris Jordan,2.3,United States,cannabis,1362,54,"New York, New York",United States,Married,5,,TRUE
Clayton Mathile,2.3,United States,pet food,1362,80,"Brookville, Ohio",United States,Married,5,"Bachelor of Arts/Science, Ohio Northern University",TRUE
Wei Ying-Chiao,2.3,Taiwan,"food, beverages",1362,66,"Taipei, Taiwan",Taiwan,Married,5,,TRUE
Roger Penske,2.1,United States,cars,1517,84,"Birmingham, Michigan",United States,Married,5,"Drop Out, Lehigh University",TRUE
Phil Ruffin,2.1,United States,"casinos, real estate",1517,86,"Las Vegas, Nevada",United States,Married,5,"Drop Out, Wichita State University",TRUE
W. Herbert Hunt,2,United States,oil,1580,92,"Dallas, Texas",United States,Married,5,,FALSE
George Joseph,2,United States,insurance,1580,99,"Los Angeles, California",United States,Married,5,"Bachelor of Arts/Science, Harvard University",TRUE
Thomas Lee,2,United States,private equity,1580,77,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, Harvard University",TRUE
Georg von Opel,2,Switzerland,"real estate, investments",1580,55,"London, United Kingdom",Switzerland,Married,5,University of Rhode Island,FALSE
Chen Tei-fu,1.9,Taiwan,herbal products,1664,73,"Los Angeles, California",Taiwan,Married,5,"Drop Out, Brigham Young University; Bachelor of Arts/Science, Kaohsiung Medical University",TRUE
Stanley Hubbard,1.9,United States,DirecTV,1664,87,"St. Paul, Minnesota",United States,Married,5,"Bachelor of Arts/Science, University of Minnesota",FALSE
Arthur Irving,1.9,Canada,oil,1664,91,"Saint John, Canada",Canada,Married,5,,FALSE
Lachhman Das Mittal,1.9,India,tractors,1664,90,"Delhi, India",India,Married,5,"Bachelor of Arts/Science, Punjab University; Master of Arts, Punjab University",FALSE
Mohamed Al Fayed,1.8,Egypt,"retail, investments",1750,92,"London, United Kingdom",Egypt,Married,5,,TRUE
Marc Lasry,1.8,United States,hedge funds,1750,60,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, Clark University; Doctor of Jurisprudence, New York Law School",TRUE
Jose Roberto Marinho,1.8,Brazil,media,1750,65,"Rio de Janeiro, Brazil",Brazil,Married,5,,FALSE
Alvaro Saieh Bendeck,1.8,Chile,banking,1750,71,"Santiago, Chile",Chile,Married,5,,TRUE
Henadiy Boholyubov,1.7,Ukraine,"banking, investments",1833,59,"Dnipro, Ukraine",Ukraine,Married,5,,TRUE
Djoko Susanto,1.7,Indonesia,supermarkets,1833,71,"Jakarta, Indonesia",Indonesia,Married,5,,TRUE
Michael Jordan,1.6,United States,"Charlotte Hornets, endorsements",1931,58,"Jupiter, Florida",United States,Married,5,"Bachelor of Arts/Science, University of North Carolina, Chapel Hill",TRUE
Massimo Moratti,1.6,Italy,oil refinery,1931,75,"Milan, Italy",Italy,Married,5,,FALSE
Juan Maria Riberas Mera,1.6,Spain,"steel, investments",1931,52,"Madrid, Spain",Spain,Married,5,,FALSE
Steve Case,1.5,United States,AOL,2035,62,"McLean, Virginia",United States,Married,5,"Bachelor of Arts/Science, Williams College",TRUE
Youssef Mansour,1.5,Egypt,diversified,2035,75,"Cairo, Egypt",Egypt,Married,5,"Master of Business Administration, Auburn University; Bachelor of Science in Engineering, North Carolina State University",TRUE
Fayez Sarofim,1.5,United States,money management,2035,92,"Houston, Texas",United States,Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of California, Berkeley",FALSE
Ryan Smith,1.5,United States,cloud computing,2035,42,"Provo, Utah",United States,Married,5,"Bachelor of Science, Brigham Young University",TRUE
Zhong Sheng Jian,1.5,Singapore,real estate,2035,63,"Singapore, Singapore",Singapore,Married,5,,TRUE
Alberto Alcocer,1.4,Spain,investments,2141,78,"Madrid, Spain",Spain,Married,5,"Doctor of Jurisprudence, Universidad Complutense de Madrid",TRUE
"Reinfried Pohl, Jr.",1.4,Germany,mutual funds,2141,61,"Marburg, Germany",Germany,Married,5,,FALSE
Syed Mokhtar AlBukhary,1.2,Malaysia,"engineering, energy, construction",2378,69,"Kuala Lumpur, Malaysia",Malaysia,Married,5,"Drop Out, High School",TRUE
Edouard Carmignac,1.2,France,asset management,2378,73,"Paris, France",France,Married,5,,TRUE
Sandor Csanyi,1.2,Hungary,"finance, real estate",2378,68,"Budapest, Hungary",Hungary,Married,5,,TRUE
Boris Rotenberg,1.2,Russia,"construction, pipes, chemicals",2378,64,"Moscow, Russia",Russia,Married,5,"Bachelor of Arts/Science, Leningrad Institute of Physical Culture",TRUE
Robert Toll,1.2,United States,home building,2378,80,"Miami Beach, Florida",United States,Married,5,"Bachelor of Arts/Science, Cornell University; LLB, University of Pennsylvania",TRUE
Nancy Lerner,1.1,United States,"banking, credit cards",2524,60,"Cleveland, Ohio",United States,Married,5,"Doctor of Jurisprudence, Cleveland State University; Bachelor of Arts/Science, University of Cincinnati",FALSE
Hary Tanoesoedibjo,1.1,Indonesia,media,2524,55,"Jakarta, Indonesia",Indonesia,Married,5,,TRUE
Jose Llado Fernandez-Urrutia,1,Spain,construction,2674,87,"Madrid, Spain",Spain,Married,5,"Ph.D, Universidad Complutense de Madrid; Doctorate, University of Madras",TRUE
Rafique Malik,1,India,footwear,2674,70,"Mumbai, India",India,Married,5,,FALSE
Miriam Adelson,38.2,United States,casinos,36,75,"Las Vegas, Nevada",United States,Widowed,5,"Bachelor of Science, Hebrew University Jerusalem",FALSE
Margot Birmingham Perot,4.1,United States,"computer services, real estate",705,87,"Dallas, Texas",United States,Widowed,5,"Bachelor of Arts/Science, Goucher College",FALSE
Angela Leong,3.4,Hong Kong,casinos,891,60,"Hong Kong, Hong Kong",Hong Kong,Widowed,5,"Diploma, High School",FALSE
David Hains,2.3,Australia,Investments,1362,90,"Melbourne, Australia",Australia,Widowed,5,"Bachelor of Science in Engineering, University of Melbourne",TRUE
Alexander Mamut,2.3,Russia,investments,1362,61,"Moscow, Russia",Russia,Widowed,5,"LLB, Moscow State University",TRUE
Eugene Murtagh,2.3,Ireland,building materials,1362,78,"Kingscourt, Ireland",Ireland,Widowed,5,,TRUE
Vardis Vardinoyannis & family,1.4,Greece,oil and gas,2141,88,"Athens, Greece",Greece,Not given,5,,TRUE
Steven Tisch,1.2,United States,insurance,2378,72,"Beverly Hills, California",United States,Not given,5,,FALSE
Joseph Lau,13.6,Hong Kong,real estate,155,69,"Hong Kong, Hong Kong",Hong Kong,Divorced,6,,TRUE
Andrew Beal,7.9,United States,"banks, real estate",311,68,"Dallas, Texas",United States,Divorced,6,"Drop Out, Baylor University",TRUE
Arthur Blank,6.2,United States,Home Depot,432,78,"Atlanta, Georgia",United States,Divorced,6,"Bachelor of Arts/Science, Babson College",TRUE
Rafael Del Pino,3.9,Spain,construction,752,62,"Madrid, Spain",Spain,Divorced,6,"Master of Business Administration, MIT Sloan School of Management; Bachelor of Arts/Science, Universidad  Politecnica de Madrid",FALSE
John Caudwell,3.1,United Kingdom,mobile phones,986,68,"Stoke-on-Trent, United Kingdom",United Kingdom,Divorced,6,,TRUE
Antonio Percassi,1.3,Italy,"real estate, diversified",2263,67,"Bergamo, Italy",Italy,Divorced,6,,TRUE
Teddy Sagi,5.2,Israel,gambling software,539,49,"Tel Aviv, Israel",Israel,In Relationship,6,,TRUE
Leonardo Del Vecchio & family,25.8,Italy,eyeglasses,62,85,"Milan, Italy",Italy,Married,6,,TRUE
Rupert Murdoch & family,23.5,United States,"newspapers, TV network",71,90,"New York, New York",United States,Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University",FALSE
"John Menard, Jr.",14.2,United States,home improvement stores,145,81,"Eau Claire, Wisconsin",United States,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire",TRUE
Ricardo Salinas Pliego & family,12.9,Mexico,"retail, media",166,65,"Mexico City, Mexico",Mexico,Married,6,"Master of Business Administration, A. B. Freeman School of Business; Bachelor of Arts/Science, TecnolÌ_gico de Monterrey",FALSE
Bubba Cathy,8.3,United States,Chick-fil-A,297,67,"Atlanta, Georgia",United States,Married,6,"Bachelor of Arts/Science, Samford University",FALSE
Igor Altushkin,7,Russia,metals,369,50,"Yekaterinburg, Russia",Russia,Married,6,"Bachelor of Arts/Science, Ekaterinburg Institute of Economics",TRUE
Charles Dolan & family,6.1,United States,cable television,440,94,"Oyster Bay, New York",United States,Married,6,"Drop Out, John Carroll University",TRUE
Charles B. Johnson,4.9,United States,money management,574,88,"Palm Beach, Florida",United States,Married,6,"Bachelor of Arts/Science, Yale University",FALSE
Anthony Pritzker,3.6,United States,"hotels, investments",831,60,"Los Angeles, California",United States,Married,6,"Bachelor of Arts/Science, Dartmouth College",FALSE
Lucio Tan,3.3,Philippines,diversified,925,86,"Manila, Philippines",Philippines,Married,6,"Bachelor of Arts/Science, Far Eastern University",TRUE
Otto Happel,3.2,Germany,engineering,956,73,"Luzerne, Switzerland",Germany,Married,6,,FALSE
Alec Gores,3,United States,private equity,1008,68,"Beverly Hills, California",United States,Married,6,"Bachelor of Arts/Science, Western Michigan University",TRUE
John Paul DeJoria,2.7,United States,"hair products, tequila",1174,77,"Austin, Texas",United States,Married,6,"Diploma, High School",TRUE
Abilio dos Santos Diniz,2.6,Brazil,retail,1205,84,"Sao Paulo, Brazil",Brazil,Married,6,"Bachelor of Arts/Science, Fundacao Getulio Vargas",FALSE
Gerald Ford,2.5,United States,banking,1249,76,"Dallas, Texas",United States,Married,6,"Bachelor of Arts/Science, Southern Methodist University; Doctor of Jurisprudence, Southern Methodist University",TRUE
"Jeremy Jacobs, Sr. & family",2.5,United States,food service,1249,81,"East Aurora, New York",United States,Married,6,"Bachelor of Arts/Science, SUNY Buffalo",FALSE
Mark & Robyn Jones,2.5,United States,insurance,1249,,"Westlake, Texas",United States,Married,6,,TRUE
David Wertheim,2.4,Israel,Coca Cola Israel,1299,63,Israel,Israel,Married,6,,FALSE
Timur Turlov,2.1,Russia,stock brokerage,1517,33,"Almaty, Kazakhstan",Russia,Married,6,"Bachelor of Science, Moscow State Technical University",TRUE
S. Daniel Abraham,2,United States,Slim-Fast,1580,96,"Palm Beach, Florida",United States,Married,6,"Diploma, High School",TRUE
Chang-Woo Han & family,1.7,Japan,pachinko parlors,1833,90,"Kyoto, Japan",Japan,Married,6,,TRUE
Mochtar Riady & family,1.7,Indonesia,diversified,1833,91,"Jakarta, Indonesia",Indonesia,Married,6,,TRUE
Chen Yung-tai,1.6,Taiwan,real estate,1931,85,"Taipei, Taiwan",Taiwan,Married,6,"Bachelor of Arts/Science, National Chung Hsing University",TRUE
William Koch,1.6,United States,"oil, investments",1931,81,"Palm Beach, Florida",United States,Married,6,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, Massachusetts Institute of Technology",FALSE
Strive Masiyiwa,1.5,Zimbabwe,telecom,2035,60,"London, United Kingdom",Zimbabwe,Married,6,"Bachelor of Engineering, University of Wales",TRUE
Nigel Austin,1.4,Australia,retail,2141,50,"Melbourne, Australia",Australia,Married,6,,TRUE
Gabriel Escarrer,1.2,Spain,hotels,2378,86,"Palma de Majorca, Spain",Spain,Married,6,,TRUE
Andrei Komarov,1.2,Russia,manufacturing,2378,54,"Moscow, Russia",Russia,Married,6,"Bachelor of Arts/Science, Moscow Institute of Chemical Engineering",TRUE
Andrei Molchanov,1.2,Russia,construction materials,2378,49,"Moscow, Russia",Russia,Married,6,"Masters of Public Administration, Russian State Academy of Management; Bachelor of Arts/Science, St Petersburg State University",TRUE
Dan Wilks,1.1,United States,natural gas,2524,64,"Cisco, Texas",United States,Married,6,"Diploma, High School",TRUE
Carlos Slim Helu & family,62.8,Mexico,telecom,16,81,"Mexico City, Mexico",Mexico,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico",TRUE
"Walter Scott, Jr. & family",5,United States,"utilities, telecom",561,89,"Omaha, Nebraska",United States,Widowed,6,"Bachelor of Arts/Science, Colorado State University",TRUE
Renzo Rosso & family,3.3,Italy,fashion,925,65,"Bassano del Grappa, Italy",Italy,Divorced,7,,TRUE
Elon Musk,151,United States,"Tesla, SpaceX",2,49,"Austin, Texas",United States,In Relationship,7,"Bachelor of Arts/Science, University of Pennsylvania",TRUE
Alexey Mordashov & family,29.1,Russia,"steel, investments",51,55,"Moscow, Russia",Russia,Married,7,"Bachelor of Arts/Science, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria",TRUE
Vladimir Potanin,27,Russia,metals,55,60,"Moscow, Russia",Russia,Married,7,"Bachelor of Arts/Science, Moscow Institute of International Relations",TRUE
Steve Cohen,16,United States,hedge funds,119,64,"Greenwich, Connecticut",United States,Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",TRUE
Donald Bren,15.3,United States,real estate,132,88,"Newport Beach, California",United States,Married,7,"Bachelor of Arts/Science, University of Washington",TRUE
Roman Abramovich,14.5,Russia,"steel, investments",142,54,"Moscow, Russia",Russia,Married,7,"Bachelor of Arts/Science, Moscow State Law Academy",TRUE
Mike Adenuga,6.1,Nigeria,"telecom, oil",440,68,"Lagos, Nigeria",Nigeria,Married,7,"Master of Business Administration, Pace University",TRUE
Robert F. Smith,6,United States,private equity,451,58,"Austin, Texas",United States,Married,7,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Cornell University",TRUE
Steven Spielberg,3.7,United States,movies,807,74,"Pacific Palisades, California",United States,Married,7,"Bachelor of Arts/Science, California State Long Beach",TRUE
Samuel Tak Lee,3.6,Hong Kong,real estate,831,82,"Hong Kong, Hong Kong",Hong Kong,Married,7,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Massachusetts Institute of Technology",FALSE
Alejandro Bulgheroni,3.3,Argentina,oil & gas,925,76,"Manantiales, Uruguay",Argentina,Married,7,,FALSE
Gregorio Perez Companc & family,2.4,Argentina,oil & gas,1299,85,"Buenos Aires, Argentina",Argentina,Married,7,"Drop Out, High School",TRUE
Gavril Yushvaev,2.2,Russia,"precious metals, real estate",1444,63,"Moscow, Russia",Russia,Married,7,,TRUE
Ermirio Pereira de Moraes,1.9,Brazil,diversified,1664,88,"Sao Paulo, Brazil",Brazil,Married,7,"Bachelor of Science in Engineering, University of Tulsa",FALSE
Louis Bacon,1.4,United States,hedge funds,2141,64,"Oyster Bay, New York",United States,Married,7,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Middlebury College",TRUE
Angela Bennett,1.4,Australia,mining,2141,77,"Perth, Australia",Australia,Married,7,,FALSE
